Month,Year,Rainfall,WPI
4,2012,48.5,107.1
5,2012,32.1,118.2
6,2012,125,118.1
7,2012,258.1,118.1
8,2012,263.9,105.5
9,2012,197.7,97.1
10,2012,59.8,97
11,2012,28.9,98.5
12,2012,9.6,95.8
1,2013,10,102
2,2013,36.9,108.8
3,2013,14.5,116.3
4,2013,29.4,121.8
5,2013,56.5,127.5
6,2013,217.9,126.7
7,2013,305.4,115.2
8,2013,248.4,105
9,2013,148.4,95.4
10,2013,128.9,91.7
11,2013,13.7,85.2
12,2013,6.2,89.2
1,2014,17.3,94.2
2,2014,25.9,84.9
3,2014,32.6,114.5
4,2014,20.2,126.4
5,2014,72.8,129.9
6,2014,95.5,131.5
7,2014,258.8,132.5
8,2014,237.9,124.3
9,2014,187.9,104.6
10,2014,60.9,96.2
11,2014,13.5,93.7
12,2014,10.4,91.7
1,2015,17.4,92.2
2,2015,21,95.9
3,2015,62,100.5
4,2015,69.4,107.9
5,2015,53.8,118.4
6,2015,192.8,123.2
7,2015,242.4,114.8
8,2015,205.2,108.1
9,2015,131.8,94.8
10,2015,42.9,88.1
11,2015,39.4,90.1
12,2015,15,88.4
1,2016,7.8,88.5
2,2016,10.1,94.1
3,2016,30.8,95.6
4,2016,31.4,109.4
5,2016,68.1,115.5
6,2016,147.6,101.8
7,2016,309.2,108.4
8,2016,239.6,94.1
9,2016,168,109.5
10,2016,54.5,99.4
11,2016,7.7,96.6
12,2016,8.4,103.1
1,2017,26.9,115
2,2017,12.4,125.2
3,2017,29,131.5
4,2017,44.3,136.7
5,2017,56.1,140.6
6,2017,172.5,144
7,2017,290.5,139.4
8,2017,229.6,117.9
9,2017,153.3,107.1
10,2017,81.5,97
11,2017,14.7,92.9
12,2017,16.2,90.8
1,2018,2.9,95.1
2,2018,12.7,100.2
3,2018,16.5,109.9
4,2018,39.3,116.6
5,2018,64.6,129.3
6,2018,155.7,144.9
7,2018,274.1,144.1
8,2018,240.2,114.1
9,2018,132.7,93.4
10,2018,35.6,88.9
11,2018,21,88.5
12,2018,14.7,90.2
1,2019,18.6,91.1
2,2019,33.2,99.6
3,2019,18.9,103.9
4,2019,31.3,112.2
5,2019,51.5,116.2
6,2019,113.4,124.7
7,2019,297.5,131
8,2019,299.2,117.5
9,2019,260.1,92.9
10,2019,109.9,90.3
11,2019,31.6,83.5
12,2019,19.1,87
1,2020,28.12,91.6
2,2020,12.1,98.9
3,2020,44.6,102.9
4,2020,42.4,107.9
5,2020,70.9,109.9
6,2020,196.2,126.9
7,2020,257.6,130.4
8,2020,327,127.3
9,2020,177.3,108.1
10,2020,78.1,95
11,2020,29.2,94.7
12,2020,17,103.1
1,2021,20.25,110
2,2021,7.62,121.8
3,2021,16.7,131.2
4,2021,31,149
5,2021,107.9,167
6,2021,182.9,185.5
7,2021,266,173.6
8,2021,196.2,119.2
9,2021,229.9,96.6
10,2021,100.7,99.3
11,2021,56.5,106.4
12,2021,20.4,110.1
