Month,Year,Rainfall,WPI
4,2012,48.5,89.9
5,2012,32.1,92.1
6,2012,125,92.7
7,2012,258.1,102
8,2012,263.9,103.6
9,2012,197.7,97.5
10,2012,59.8,91.8
11,2012,28.9,92.4
12,2012,9.6,92.5
1,2013,10,91.8
2,2013,36.9,93.9
3,2013,14.5,100.2
4,2013,29.4,98.8
5,2013,56.5,100.2
6,2013,217.9,105.7
7,2013,305.4,111.6
8,2013,248.4,116.3
9,2013,148.4,115.5
10,2013,128.9,111.9
11,2013,13.7,107.5
12,2013,6.2,105
1,2014,17.3,111.7
2,2014,25.9,111.8
3,2014,32.6,107.4
4,2014,20.2,106.3
5,2014,72.8,106.1
6,2014,95.5,108.2
7,2014,258.8,106.4
8,2014,237.9,104.8
9,2014,187.9,95.9
10,2014,60.9,90.6
11,2014,13.5,88.3
12,2014,10.4,89.5
1,2015,17.4,86.5
2,2015,21,83.4
3,2015,62,83.6
4,2015,69.4,89.5
5,2015,53.8,93
6,2015,192.8,91.8
7,2015,242.4,91.5
8,2015,205.2,90.8
9,2015,131.8,91.3
10,2015,42.9,86.7
11,2015,39.4,86.2
12,2015,15,89.4
1,2016,7.8,90.4
2,2016,10.1,87.7
3,2016,30.8,85.7
4,2016,31.4,89.9
5,2016,68.1,93.5
6,2016,147.6,104.5
7,2016,309.2,116.4
8,2016,239.6,115.6
9,2016,168,111
10,2016,54.5,105.9
11,2016,7.7,102.1
12,2016,8.4,103.6
1,2017,26.9,111.4
2,2017,12.4,113.9
3,2017,29,114.3
4,2017,44.3,111.5
5,2017,56.1,109.4
6,2017,172.5,110.7
7,2017,290.5,110.7
8,2017,229.6,110.1
9,2017,153.3,106.5
10,2017,81.5,100.8
11,2017,14.7,101.7
12,2017,16.2,107.6
1,2018,2.9,110.6
2,2018,12.7,106.9
3,2018,16.5,103.3
4,2018,39.3,102.9
5,2018,64.6,105
6,2018,155.7,116.7
7,2018,274.1,121.9
8,2018,240.2,122.6
9,2018,132.7,120.9
10,2018,35.6,121.1
11,2018,21,122.6
12,2018,14.7,119.3
1,2019,18.6,115.5
2,2019,33.2,113.1
3,2019,18.9,117.1
4,2019,31.3,125
5,2019,51.5,125.2
6,2019,113.4,124.9
7,2019,297.5,123.2
8,2019,299.2,120.7
9,2019,260.1,117.7
10,2019,109.9,113.6
11,2019,31.6,109.6
12,2019,19.1,108.9
1,2020,28.12,109
2,2020,12.1,107.5
3,2020,44.6,107
4,2020,42.4,106.8
5,2020,70.9,104.4
6,2020,196.2,106.1
7,2020,257.6,106.4
8,2020,327,92
9,2020,177.3,94.8
10,2020,78.1,99.6
11,2020,29.2,105.4
12,2020,17,107.9
1,2021,20.25,109.9
2,2021,7.62,113.9
3,2021,16.7,116.1
4,2021,31,114.9
5,2021,107.9,116.6
6,2021,182.9,125.6
7,2021,266,131.2
8,2021,196.2,134
9,2021,229.9,132.6
10,2021,100.7,141.5
11,2021,56.5,147.9
12,2021,20.4,146.6
