Month,Year,Rainfall,WPI
4,2012,48.5,107.9
5,2012,32.1,105.5
6,2012,125,107.2
7,2012,258.1,111.3
8,2012,263.9,117.8
9,2012,197.7,117.3
10,2012,59.8,117.8
11,2012,28.9,117.9
12,2012,9.6,121.2
1,2013,10,123.4
2,2013,36.9,122.9
3,2013,14.5,121.8
4,2013,29.4,121.4
5,2013,56.5,120.6
6,2013,217.9,126.1
7,2013,305.4,127.6
8,2013,248.4,126.5
9,2013,148.4,128.9
10,2013,128.9,121.2
11,2013,13.7,122.1
12,2013,6.2,123
1,2014,17.3,120.1
2,2014,25.9,118.9
3,2014,32.6,121
4,2014,20.2,119.2
5,2014,72.8,118.3
6,2014,95.5,119.8
7,2014,258.8,124.6
8,2014,237.9,121.7
9,2014,187.9,117.4
10,2014,60.9,114.2
11,2014,13.5,113
12,2014,10.4,113.7
1,2015,17.4,118.6
2,2015,21,119.3
3,2015,62,122.4
4,2015,69.4,121.4
5,2015,53.8,118.9
6,2015,192.8,118.3
7,2015,242.4,119.9
8,2015,205.2,120.4
9,2015,131.8,121.9
10,2015,42.9,123.5
11,2015,39.4,126.6
12,2015,15,129.2
1,2016,7.8,133.8
2,2016,10.1,135.9
3,2016,30.8,135.8
4,2016,31.4,135.2
5,2016,68.1,135.2
6,2016,147.6,136.6
7,2016,309.2,142.2
8,2016,239.6,139.3
9,2016,168,139.8
10,2016,54.5,138.6
11,2016,7.7,137.7
12,2016,8.4,134
1,2017,26.9,134.6
2,2017,12.4,135.6
3,2017,29,135.2
4,2017,44.3,135.5
5,2017,56.1,134.2
6,2017,172.5,132.6
7,2017,290.5,129.2
8,2017,229.6,127.7
9,2017,153.3,125.1
10,2017,81.5,123.7
11,2017,14.7,119.1
12,2017,16.2,117.9
1,2018,2.9,116.4
2,2018,12.7,117.3
3,2018,16.5,117.3
4,2018,39.3,118
5,2018,64.6,117.6
6,2018,155.7,121.5
7,2018,274.1,121.6
8,2018,240.2,123.2
9,2018,132.7,125.7
10,2018,35.6,129.3
11,2018,21,131.9
12,2018,14.7,139.2
1,2019,18.6,147.9
2,2019,33.2,158.9
3,2019,18.9,163.7
4,2019,31.3,171.3
5,2019,51.5,171.3
6,2019,113.4,174
7,2019,297.5,181.5
8,2019,299.2,184.8
9,2019,260.1,185.8
10,2019,109.9,183.6
11,2019,31.6,172.4
12,2019,19.1,175.6
1,2020,28.12,178.8
2,2020,12.1,167
3,2020,44.6,158.5
4,2020,42.4,155.4
5,2020,70.9,152
6,2020,196.2,148.4
7,2020,257.6,147.6
8,2020,327,146.9
9,2020,177.3,142.5
10,2020,78.1,137.9
11,2020,29.2,139.8
12,2020,17,140.5
1,2021,20.25,137.4
2,2021,7.62,135.4
3,2021,16.7,135.7
4,2021,31,139.9
5,2021,107.9,141.5
6,2021,182.9,142.6
7,2021,266,147.6
8,2021,196.2,153.6
9,2021,229.9,154.8
10,2021,100.7,151.6
11,2021,56.5,150.4
12,2021,20.4,154.2
