Month,Year,Rainfall,WPI
4,2012,48.5,96.3
5,2012,32.1,96
6,2012,125,96.6
7,2012,258.1,103.6
8,2012,263.9,108.7
9,2012,197.7,108.4
10,2012,59.8,112.2
11,2012,28.9,113.5
12,2012,9.6,115.4
1,2013,10,116.9
2,2013,36.9,117.1
3,2013,14.5,118.3
4,2013,29.4,120
5,2013,56.5,118.9
6,2013,217.9,119
7,2013,305.4,118
8,2013,248.4,113.9
9,2013,148.4,117.5
10,2013,128.9,122.9
11,2013,13.7,126.4
12,2013,6.2,126.7
1,2014,17.3,126.5
2,2014,25.9,129.3
3,2014,32.6,132.6
4,2014,20.2,135.5
5,2014,72.8,137.8
6,2014,95.5,136.8
7,2014,258.8,142.5
8,2014,237.9,142.2
9,2014,187.9,141.2
10,2014,60.9,144.6
11,2014,13.5,148.5
12,2014,10.4,153.9
1,2015,17.4,159.1
2,2015,21,155.7
3,2015,62,150.7
4,2015,69.4,151.4
5,2015,53.8,155.7
6,2015,192.8,170.2
7,2015,242.4,165.3
8,2015,205.2,164.8
9,2015,131.8,167.5
10,2015,42.9,173.5
11,2015,39.4,178.1
12,2015,15,168.8
1,2016,7.8,167.1
2,2016,10.1,161
3,2016,30.8,158.7
4,2016,31.4,162.2
5,2016,68.1,161.9
6,2016,147.6,155.4
7,2016,309.2,150.4
8,2016,239.6,143.5
9,2016,168,134.7
10,2016,54.5,131.6
11,2016,7.7,127.4
12,2016,8.4,122.7
1,2017,26.9,119.7
2,2017,12.4,116.9
3,2017,29,115.4
4,2017,44.3,120.8
5,2017,56.1,120.1
6,2017,172.5,116.8
7,2017,290.5,113
8,2017,229.6,112.6
9,2017,153.3,112.9
10,2017,81.5,111.5
11,2017,14.7,109.8
12,2017,16.2,110.7
1,2018,2.9,112.2
2,2018,12.7,113
3,2018,16.5,114.1
4,2018,39.3,111.5
5,2018,64.6,113
6,2018,155.7,112.4
7,2018,274.1,115
8,2018,240.2,118.9
9,2018,132.7,119.8
10,2018,35.6,118.1
11,2018,21,121.6
12,2018,14.7,123
1,2019,18.6,125.8
2,2019,33.2,128.2
3,2019,18.9,127.8
4,2019,31.3,128.2
5,2019,51.5,130.9
6,2019,113.4,135.6
7,2019,297.5,137.1
8,2019,299.2,137.2
9,2019,260.1,138.7
10,2019,109.9,139.7
11,2019,31.6,146.7
12,2019,19.1,149.6
1,2020,28.12,151.3
2,2020,12.1,156.6
3,2020,44.6,162
4,2020,42.4,174.2
5,2020,70.9,179.7
6,2020,196.2,176.1
7,2020,257.6,173.6
8,2020,327,170.4
9,2020,177.3,164.3
10,2020,78.1,162.6
11,2020,29.2,165.1
12,2020,17,168.5
1,2021,20.25,166.7
2,2021,7.62,169.7
3,2021,16.7,169.2
4,2021,31,169.7
5,2021,107.9,169.6
6,2021,182.9,167.4
7,2021,266,163.5
8,2021,196.2,162.5
9,2021,229.9,164.9
10,2021,100.7,166.3
11,2021,56.5,164.7
12,2021,20.4,165.1
