Month,Year,Rainfall,WPI
4,2012,48.5,73.2
5,2012,32.1,60.2
6,2012,125,62.3
7,2012,258.1,70.5
8,2012,263.9,79.9
9,2012,197.7,68.7
10,2012,59.8,68.3
11,2012,28.9,67.5
12,2012,9.6,66.5
1,2013,10,65
2,2013,36.9,66
3,2013,14.5,66
4,2013,29.4,69.5
5,2013,56.5,78.2
6,2013,217.9,77.4
7,2013,305.4,75.8
8,2013,248.4,78.3
9,2013,148.4,77.5
10,2013,128.9,76.5
11,2013,13.7,77.3
12,2013,6.2,73.9
1,2014,17.3,68.3
2,2014,25.9,68.2
3,2014,32.6,74.5
4,2014,20.2,69.2
5,2014,72.8,68.9
6,2014,95.5,64.5
7,2014,258.8,79.4
8,2014,237.9,71.1
9,2014,187.9,70.1
10,2014,60.9,69.6
11,2014,13.5,67.7
12,2014,10.4,69.7
1,2015,17.4,70.9
2,2015,21,69.3
3,2015,62,69.8
4,2015,69.4,70.4
5,2015,53.8,71
6,2015,192.8,75.7
7,2015,242.4,76.1
8,2015,205.2,75
9,2015,131.8,68.1
10,2015,42.9,68.8
11,2015,39.4,65.3
12,2015,15,68.5
1,2016,7.8,66.9
2,2016,10.1,70
3,2016,30.8,70.6
4,2016,31.4,69.1
5,2016,68.1,71.5
6,2016,147.6,87.9
7,2016,309.2,82.1
8,2016,239.6,79
9,2016,168,82.3
10,2016,54.5,75.1
11,2016,7.7,74.1
12,2016,8.4,63.6
1,2017,26.9,66.4
2,2017,12.4,66.7
3,2017,29,62.1
4,2017,44.3,56.7
5,2017,56.1,56.8
6,2017,172.5,64.1
7,2017,290.5,64.1
8,2017,229.6,77.4
9,2017,153.3,74.2
10,2017,81.5,75.4
11,2017,14.7,72.8
12,2017,16.2,67.9
1,2018,2.9,66.5
2,2018,12.7,67.5
3,2018,16.5,69.3
4,2018,39.3,67.5
5,2018,64.6,82
6,2018,155.7,95.1
7,2018,274.1,70
8,2018,240.2,70.7
9,2018,132.7,73.7
10,2018,35.6,83
11,2018,21,75.9
12,2018,14.7,66.8
1,2019,18.6,65.1
2,2019,33.2,67.2
3,2019,18.9,68.3
4,2019,31.3,58.9
5,2019,51.5,65.9
6,2019,113.4,60.4
7,2019,297.5,71
8,2019,299.2,86
9,2019,260.1,95.9
10,2019,109.9,102.4
11,2019,31.6,97.4
12,2019,19.1,91.4
1,2020,28.12,91.8
2,2020,12.1,92
3,2020,44.6,82.6
4,2020,42.4,79.8
5,2020,70.9,67.6
6,2020,196.2,61.7
7,2020,257.6,62.4
8,2020,327,68.6
9,2020,177.3,75.7
10,2020,78.1,84.3
11,2020,29.2,111.2
12,2020,17,105.8
1,2021,20.25,94.7
2,2021,7.62,99.1
3,2021,16.7,107.7
4,2021,31,122.7
5,2021,107.9,127
6,2021,182.9,119.8
7,2021,266,128.6
8,2021,196.2,123.1
9,2021,229.9,124.7
10,2021,100.7,133.3
11,2021,56.5,132.8
12,2021,20.4,116.7
